song_name,class
Eyes Without A Face - Remastered 1999.wav,1
So Long.wav,1
Bruises.wav,1
Time After Time.wav,1
Another Love.wav,1
Face 2 Face.wav,1
Holding Back the Years - 2008 Remaster.wav,1
Forever & Again (From Barbie The Album).wav,1
Dandelions.wav,1
SAD!.wav,1
lovely (with Khalid).wav,1
Broken Wings.wav,1
Glimpse of Us.wav,1
Friends.wav,1
Alone.wav,1
When I Was Your Man.wav,1
Jocelyn Flores.wav,1
Solo.wav,1
Righteous.wav,1
I Wish It Would Rain Down - 2016 Remaster.wav,1
Wish You Were Here.wav,1
I Don't Wanna Do This Anymore.wav,1
Without You.wav,1
Pharmacy.wav,1
Before You Go.wav,1
TV.wav,1
Lucid Dreams.wav,1
Somebody.wav,1
SOCKS 4 THE LOW.wav,1
Drive - 2017 Remaster.wav,1
favorite crime.wav,1
Carrie.wav,1
Daylight.wav,1
With Or Without You.wav,1
Again & Again.wav,1
Talking to the Moon.wav,1
idfc.wav,1
Missing You.wav,1
Throwing It All Away - 2007 Remaster.wav,1
Pictures of You - 2010 Remaster.wav,1
The Light.wav,1
In My Head.wav,1
All Out of Love.wav,1
There's No Easy Way.wav,1
Was This Love?.wav,1
If You Leave Me Now.wav,1
Trey P Fetty.wav,1
GONE.wav,1
Mourning.wav,1
Wicked Game.wav,1
Every Rose Has Its Thorn.wav,1
"Love Me Like You Do - From ""Fifty Shades Of Grey"".wav",1
Where Do Broken Hearts Go.wav,1
Bored.wav,1
changes.wav,1
Select A Button.wav,1
traitor.wav,1
Save a Prayer - 2009 Remaster.wav,1
Good Intentions.wav,1
U & I - Unplugged.wav,1
Easy On Me.wav,1
Hard to Say I'm Sorry - 2009 Remaster.wav,1
Lonely (with benny blanco).wav,1
Heartbreaker.wav,1
Life's A Mess (feat. Halsey).wav,1
Falling.wav,1
Miss You Like Crazy.wav,1
Falling Down - Bonus Track.wav,1
Coping.wav,1
Nikita.wav,1
Every Time You Go Away - Radio Edit.wav,1
Sad & Alone.wav,1
Get You The Moon (feat. Snøw).wav,1
True Love.wav,1
"Save Me, Please.wav",1
Deja Vu.wav,1
Do You Remember? - 2016 Remaster.wav,1
On My Own.wav,1
One More Night - 2016 Remaster.wav,1
How Am I Supposed to Live Without You.wav,1
better off.wav,1
"Please, Please, Please, Let Me Get What I Want - 2011 Remaster.wav",1
Tell Me.wav,1
Purple Rain.wav,1
Don't Know What You Got (Till It's Gone).wav,1
I Want to Know What Love Is - 1999 Remaster.wav,1
Hate Me.wav,1
The Weekend.wav,1
I Hate Myself for Loving You.wav,2
Tears Don't Fall.wav,2
Motion Sickness.wav,2
Arena.wav,2
Mistakes.wav,2
YKWIM?.wav,2
Stressed Out.wav,2
God Must Hate Me.wav,2
Rock And Roll All Nite.wav,2
Happier Than Ever.wav,2
Feel Better.wav,2
No Sleep Till Brooklyn.wav,2
In the End.wav,2
Highway to Hell.wav,2
Icky Thump.wav,2
Play for Keeps.wav,2
Saline Solution.wav,2
Rain in Rome.wav,2
Fight For Your Right.wav,2
Sad But True.wav,2
lovely.wav,2
Setting Fires - Vanic Remix.wav,2
Enter Sandman.wav,2
Rät.wav,2
REDLIGHT - Holy Goof Remix.wav,2
As the World Caves In.wav,2
Monster.wav,2
I’m Tired (with Zendaya) - Bonus Track.wav,2
Sweet Child O' Mine.wav,2
King For A Day.wav,2
Apologize - Hidden Citizens Remix.wav,2
Dreams and Nightmares.wav,2
Drop The World.wav,2
Down with the Sickness.wav,2
Cherry Pie.wav,2
For Whom The Bell Tolls (Remastered).wav,2
Since I Saw Vienna.wav,2
Wins & Losses.wav,2
Jealous.wav,2
Your Sister Was Right.wav,2
The End.wav,2
Iron Man - 2012 - Remaster.wav,2
LOST.wav,2
XO TOUR Llif3.wav,2
Look Who’s Inside Again.wav,2
LIMBO (feat. Killstation).wav,2
NEW MAGIC WAND.wav,2
Grave.wav,2
Dr. Feelgood.wav,2
"Hey Baby, Here's That Song You Wanted.wav",2
Headstrong.wav,2
Detroit Vs. Everybody.wav,2
Hail to the King.wav,2
Kill Bill.wav,2
The Rumbling.wav,2
Jubilee Line.wav,2
SOLD OUT.wav,2
Intergalactic - Remastered 2009.wav,2
Thunderstruck.wav,2
Hurt.wav,2
Moral of the Story.wav,2
Lockdown.wav,2
I Deserve to Bleed.wav,2
Fight Through The Pain.wav,2
Sober.wav,2
Alien Blues.wav,2
Revenge.wav,2
PYRO.wav,2
Hyper.wav,2
Back In Black.wav,2
Feel Something (With I Prevail).wav,2
One Step Closer.wav,2
Don't Waste Your Breath.wav,2
Mystique.wav,2
Crazy Train.wav,2
In Between.wav,2
Fat Funny Friend (sadder).wav,2
Dirty Deeds Done Dirt Cheap.wav,2
Michelle.wav,2
Master of Puppets (Remastered).wav,2
Overkill.wav,2
Royalty.wav,2
Kings Never Die.wav,2
No Love.wav,2
The Pretender.wav,2
Savior.wav,2
Ghosting.wav,2
happier.wav,2
Last Resort.wav,2
A Boy Brushed Red Living In Black And White.wav,2
Gold (Stupid Love).wav,2
The Downfall of Us All.wav,2
NO NAME.wav,2
LAYERS.wav,2
hard to breathe.wav,2
T.N.T..wav,2
I Can't Handle Change.wav,2
That's All She Wrote (feat. Eminem).wav,2
HURTWORLD '99.wav,2
We're Not Gonna Take It.wav,2
Welcome To The Jungle.wav,2
Kneel Before Me.wav,2
HUMBLE. - SKRILLEX REMIX.wav,2
Leave Me Alone.wav,2
115.wav,2
Hungry.wav,2
X Gon' Give It To Ya.wav,2
Dragula.wav,2
m.A.A.d city.wav,2
Take Me to Church.wav,2
Your Betrayal.wav,2
Smells Like Teen Spirit.wav,2
The God That Failed.wav,2
PAINLESS - Arcando Remix.wav,2
Disorder (Rebirth).wav,2
Faint.wav,2
MESS U MADE.wav,2
AVOID ME.wav,2
PAID MY DUES.wav,2
Last Resort - The Rework.wav,2
